"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4021","Verify that clicking on a product image navigates to the item detail page","","Thu Jan 02 17:32:23 GMT 2025","broken","Thu Jan 02 17:32:27 GMT 2025","","SauceDemo Product Image Navigation Feature","SauceDemo Product Image Navigation Feature","Verify that clicking on a product image navigates to the item detail page"
"","331","Updating book with missing values","","Thu Jan 02 17:33:02 GMT 2025","failed","Thu Jan 02 17:33:02 GMT 2025","","API Testing to Update Books Data","API Testing to Update Books Data","Updating book with missing values"
"","4282","User should be able to log in using valid credentials and add an item to the cart","","Thu Jan 02 17:31:18 GMT 2025","passed","Thu Jan 02 17:31:22 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","User should be able to log in using valid credentials and add an item to the cart"
"","146","Valid login with user credentials","","Thu Jan 02 17:30:55 GMT 2025","passed","Thu Jan 02 17:30:56 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
"","206","Adding book with invalid data","","Thu Jan 02 17:31:37 GMT 2025","passed","Thu Jan 02 17:31:38 GMT 2025","","API Testing to Invalid Type Data","API Testing to Invalid Type Data","Adding book with invalid data"
"","4545","user should be able to login using Valid Credentials","","Thu Jan 02 17:31:51 GMT 2025","passed","Thu Jan 02 17:31:55 GMT 2025","","sourceDemo Add to Cart Feature","sourceDemo Add to Cart Feature","user should be able to login using Valid Credentials"
"","1018","Verify filtering by Price (Low to High)","","Thu Jan 02 17:31:31 GMT 2025","passed","Thu Jan 02 17:31:32 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","418","Attempt to delete a book without proper authorization","","Thu Jan 02 17:30:22 GMT 2025","broken","Thu Jan 02 17:30:22 GMT 2025","","API Testing to Delete Books Data","API Testing to Delete Books Data","Attempt to delete a book without proper authorization"
"","401","Successfully adding a new book","","Thu Jan 02 17:32:40 GMT 2025","failed","Thu Jan 02 17:32:41 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Successfully adding a new book"
"","4043","Verify that clicking on an item navigates to the item detail page","","Thu Jan 02 17:32:15 GMT 2025","passed","Thu Jan 02 17:32:19 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify that clicking on an item navigates to the item detail page"
