"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1077","Verify filtering by Name (Z to A)","","Thu Jan 02 09:05:18 GMT 2025","passed","Thu Jan 02 09:05:19 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","926","Retrieve all books using GET request","","Thu Jan 02 09:04:35 GMT 2025","failed","Thu Jan 02 09:04:36 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","Retrieve all books using GET request"
"","3719","Verify filtering by Name (A to Z)","","Thu Jan 02 09:05:14 GMT 2025","passed","Thu Jan 02 09:05:18 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (A to Z)"
"","1063","Verify filtering by Price (High to Low)","","Thu Jan 02 09:05:20 GMT 2025","passed","Thu Jan 02 09:05:21 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","1012","Verify filtering by Price (Low to High)","","Thu Jan 02 09:05:19 GMT 2025","passed","Thu Jan 02 09:05:20 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","141","Invalid login with admin credentials","","Thu Jan 02 09:04:54 GMT 2025","passed","Thu Jan 02 09:04:54 GMT 2025","","API Testing for Login User","API Testing for Login User","Invalid login with admin credentials"
"","5166","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Thu Jan 02 09:05:25 GMT 2025","passed","Thu Jan 02 09:05:31 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
"","3699","user should be able to login using Valid Credentials","","Thu Jan 02 09:05:51 GMT 2025","passed","Thu Jan 02 09:05:54 GMT 2025","","sourceDemo Login Feature","sourceDemo Login Feature","user should be able to login using Valid Credentials"
"","427","Successfully adding a new book","","Thu Jan 02 09:06:06 GMT 2025","failed","Thu Jan 02 09:06:06 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Successfully adding a new book"
"","322","Adding book with missing data","","Thu Jan 02 09:06:06 GMT 2025","failed","Thu Jan 02 09:06:07 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Adding book with missing data"
"","4308","User should be able to log in using valid credentials and add an item to the cart","","Thu Jan 02 09:05:06 GMT 2025","passed","Thu Jan 02 09:05:10 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","User should be able to log in using valid credentials and add an item to the cart"
"","198","Attempt to retrieve a book with an invalid ID","","Thu Jan 02 09:04:41 GMT 2025","passed","Thu Jan 02 09:04:41 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Attempt to retrieve a book with an invalid ID"
"","4267","user should be able to login using Valid Credentials","","Thu Jan 02 09:05:34 GMT 2025","passed","Thu Jan 02 09:05:39 GMT 2025","","sourceDemo Add to Cart Feature","sourceDemo Add to Cart Feature","user should be able to login using Valid Credentials"
"","4090","Verify Add to Cart and Remove functionality directly from the dashboard","","Thu Jan 02 09:06:10 GMT 2025","passed","Thu Jan 02 09:06:14 GMT 2025","","sourceDemo RemoveItem Feature","sourceDemo RemoveItem Feature","Verify Add to Cart and Remove functionality directly from the dashboard"
"","345","Successfully retrieve a book by valid ID","","Thu Jan 02 09:04:40 GMT 2025","failed","Thu Jan 02 09:04:41 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Successfully retrieve a book by valid ID"
"","112","Valid login with user credentials","","Thu Jan 02 09:04:54 GMT 2025","passed","Thu Jan 02 09:04:54 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
"","4000","Verify that clicking on an item navigates to the item detail page","","Thu Jan 02 09:05:58 GMT 2025","passed","Thu Jan 02 09:06:02 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify that clicking on an item navigates to the item detail page"
"","4228","User should be able to add and remove a specific item from the cart","","Thu Jan 02 09:05:43 GMT 2025","passed","Thu Jan 02 09:05:47 GMT 2025","","sourceDemo Item Remove from Cart Feature","sourceDemo Item Remove from Cart Feature","User should be able to add and remove a specific item from the cart"
