"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","159","Invalid login with admin credentials","","Thu Jan 02 17:10:58 GMT 2025","passed","Thu Jan 02 17:10:58 GMT 2025","","API Testing for Login User","API Testing for Login User","Invalid login with admin credentials"
"","1087","Verify filtering by Name (Z to A)","","Thu Jan 02 17:11:22 GMT 2025","passed","Thu Jan 02 17:11:24 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","3665","user should be able to login using Valid Credentials","","Thu Jan 02 17:11:55 GMT 2025","passed","Thu Jan 02 17:11:59 GMT 2025","","sourceDemo Login Feature","sourceDemo Login Feature","user should be able to login using Valid Credentials"
"","381","Adding book with missing data","","Thu Jan 02 17:12:11 GMT 2025","failed","Thu Jan 02 17:12:11 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Adding book with missing data"
"","894","Retrieve all books using GET request","","Thu Jan 02 17:10:39 GMT 2025","failed","Thu Jan 02 17:10:40 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","Retrieve all books using GET request"
"","126","Valid login with user credentials","","Thu Jan 02 17:10:58 GMT 2025","passed","Thu Jan 02 17:10:58 GMT 2025","","API Testing for Login User","API Testing for Login User","Valid login with user credentials"
"","3648","Verify filtering by Name (A to Z)","","Thu Jan 02 17:11:19 GMT 2025","passed","Thu Jan 02 17:11:22 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (A to Z)"
"","351","Successfully retrieve a book by valid ID","","Thu Jan 02 17:10:44 GMT 2025","failed","Thu Jan 02 17:10:44 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Successfully retrieve a book by valid ID"
"","170","Attempt to retrieve a book with an invalid ID","","Thu Jan 02 17:10:44 GMT 2025","passed","Thu Jan 02 17:10:45 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","Attempt to retrieve a book with an invalid ID"
"","1020","Verify filtering by Price (Low to High)","","Thu Jan 02 17:11:24 GMT 2025","passed","Thu Jan 02 17:11:25 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (Low to High)"
"","3978","Verify that clicking on an item navigates to the item detail page","","Thu Jan 02 17:12:02 GMT 2025","passed","Thu Jan 02 17:12:06 GMT 2025","","sourceDemo Product Navigation Feature","sourceDemo Product Navigation Feature","Verify that clicking on an item navigates to the item detail page"
"","4284","User should be able to add and remove a specific item from the cart","","Thu Jan 02 17:11:47 GMT 2025","passed","Thu Jan 02 17:11:51 GMT 2025","","sourceDemo Item Remove from Cart Feature","sourceDemo Item Remove from Cart Feature","User should be able to add and remove a specific item from the cart"
"","344","Successfully adding a new book","","Thu Jan 02 17:12:10 GMT 2025","failed","Thu Jan 02 17:12:10 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","Successfully adding a new book"
"","1029","Verify filtering by Price (High to Low)","","Thu Jan 02 17:11:25 GMT 2025","passed","Thu Jan 02 17:11:26 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Price (High to Low)"
"","4092","Verify Add to Cart and Remove functionality directly from the dashboard","","Thu Jan 02 17:12:15 GMT 2025","passed","Thu Jan 02 17:12:19 GMT 2025","","sourceDemo RemoveItem Feature","sourceDemo RemoveItem Feature","Verify Add to Cart and Remove functionality directly from the dashboard"
"","5205","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout","","Thu Jan 02 17:11:29 GMT 2025","passed","Thu Jan 02 17:11:35 GMT 2025","","sourceDemo  Checkout Feature","sourceDemo  Checkout Feature","User should be able to log in using valid credentials and add an item to the cart,and proceed to checkout"
"","4282","User should be able to log in using valid credentials and add an item to the cart","","Thu Jan 02 17:11:11 GMT 2025","passed","Thu Jan 02 17:11:15 GMT 2025","","sourceDemo Continue Shipping Feature","sourceDemo Continue Shipping Feature","User should be able to log in using valid credentials and add an item to the cart"
"","4315","user should be able to login using Valid Credentials","","Thu Jan 02 17:11:38 GMT 2025","passed","Thu Jan 02 17:11:43 GMT 2025","","sourceDemo Add to Cart Feature","sourceDemo Add to Cart Feature","user should be able to login using Valid Credentials"
